INFO    2023-03-16 00:22:55,779 [AWT-EventQueue-0] Mylogger  login - EMP5 Login Successfully
INFO    2023-03-16 00:34:01,673 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
ERROR   2023-03-16 00:35:13,935 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - null username and password do not match
INFO    2023-03-16 00:35:22,701 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:04:57,011 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:06:37,503 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:29:28,353 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:32:21,438 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:32:21,438 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
WARN    2023-03-16 01:35:07,338 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:35:07,338 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:35:07,340 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:35:07,340 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:35:07,341 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:35:07,341 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
INFO    2023-03-16 01:39:41,751 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:41:05,363 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
INFO    2023-03-16 01:41:17,194 [AWT-EventQueue-0] com.grocery.main.sub.Home  btn_logoutActionPerformed - EMP5 Logout Successfully
INFO    2023-03-16 01:42:14,527 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP5 Login Successfully
WARN    2023-03-16 01:42:20,217 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,220 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,222 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,223 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,224 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,225 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,226 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,227 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,229 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,231 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,232 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,232 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,234 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,236 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,238 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,241 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-16 01:42:20,243 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
INFO    2023-03-16 01:44:21,347 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
WARN    2023-03-16 01:50:09,672 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
