INFO    2023-03-19 07:00:50,796 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
WARN    2023-03-19 07:10:09,711 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 07:10:09,711 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 07:10:09,711 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 07:10:09,711 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 07:10:09,711 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
INFO    2023-03-19 08:21:42,805 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
WARN    2023-03-19 08:26:24,433 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,435 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,438 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,440 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,442 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,445 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,447 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:24,449 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,201 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,214 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,224 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,237 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,254 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,355 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:26:39,372 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
